X,Y,Z
59,32,103
59,32,102
59,32,94
59,32,93
59,32,92
59,32,91
59,32,90
59,32,82
59,32,81
59,32,80
59,32,79
59,32,78
59,32,70
59,32,69
59,32,68
59,32,67
59,32,66
59,32,65
59,32,58
59,32,57
59,32,56
59,32,55
59,32,54
59,32,53
59,32,46
59,32,45
59,32,44
59,32,43
59,32,42
59,32,41
59,32,34
59,32,33
59,32,32
59,32,31
59,32,30
59,32,29
59,32,21
59,32,20
59,32,19
59,32,18
59,32,17
59,32,9
59,33,119
59,33,118
59,33,117
59,33,116
59,33,115
59,33,114
59,33,107
59,33,106
59,33,105
59,33,104
59,33,103
59,33,102
59,33,94
59,33,93
59,33,92
59,33,91
59,33,90
59,33,82
59,33,81
59,33,80
59,33,79
59,33,78
59,33,70
59,33,69
59,33,68
59,33,67
59,33,66
59,33,58
59,33,57
59,33,56
59,33,55
59,33,54
59,33,53
59,33,46
59,33,45
59,33,44
59,33,43
59,33,42
59,33,41
59,33,34
59,33,33
59,33,32
59,33,31
59,33,30
59,33,29
59,33,21
59,33,20
59,33,19
59,33,18
59,33,17
59,33,9
59,34,119
59,34,118
59,34,117
59,34,116
59,34,115
59,34,114
59,34,107
59,34,106
59,34,105
59,34,104
59,34,103
59,34,102
59,34,94
59,34,93
59,34,92
59,34,91
59,34,90
59,34,82
59,34,81
59,34,80
59,34,79
59,34,78
59,34,70
59,34,69
59,34,68
59,34,67
59,34,66
59,34,58
59,34,57
59,34,56
59,34,55
59,34,54
59,34,53
59,34,46
59,34,45
59,34,44
59,34,43
59,34,42
59,34,41
59,34,34
59,34,33
59,34,32
59,34,31
59,34,30
59,34,29
59,34,21
59,34,20
59,34,19
59,34,18
59,34,17
59,34,9
59,35,119
59,35,118
59,35,117
59,35,116
59,35,115
59,35,114
59,35,107
59,35,106
59,35,105
59,35,104
59,35,103
59,35,102
59,35,94
59,35,93
59,35,92
59,35,91
59,35,90
59,35,82
59,35,81
59,35,80
59,35,79
59,35,78
59,35,70
59,35,69
59,35,68
59,35,67
59,35,66
59,35,58
59,35,57
59,35,56
59,35,55
59,35,54
59,35,46
59,35,45
59,35,44
59,35,43
59,35,42
59,35,41
59,35,34
59,35,33
59,35,32
59,35,31
59,35,30
59,35,29
59,35,21
59,35,20
59,35,19
59,35,18
59,35,17
59,35,9
59,36,119
59,36,118
59,36,117
59,36,116
59,36,115
59,36,107
59,36,106
59,36,105
59,36,104
59,36,103
59,36,102
59,36,94
59,36,93
59,36,92
59,36,91
59,36,90
59,36,82
59,36,81
59,36,80
59,36,79
59,36,78
59,36,70
59,36,69
59,36,68
59,36,67
59,36,66
59,36,58
59,36,57
59,36,56
59,36,55
59,36,54
59,36,46
59,36,45
59,36,44
59,36,43
59,36,42
59,36,34
59,36,33
59,36,32
59,36,31
59,36,30
59,36,29
59,36,21
59,36,20
59,36,19
59,36,18
59,36,17
59,36,9
59,37,119
59,37,118
59,37,117
59,37,116
59,37,115
59,37,107
59,37,106
59,37,105
59,37,104
59,37,103
59,37,94
59,37,93
59,37,92
59,37,91
59,37,90
59,37,82
59,37,80
59,37,79
59,37,78
59,37,70
59,37,69
59,37,68
59,37,67
59,37,66
59,37,58
59,37,57
59,37,56
59,37,55
59,37,54
59,37,46
59,37,45
59,37,44
59,37,43
59,37,42
59,37,34
59,37,33
59,37,32
59,37,31
59,37,30
59,37,21
59,37,20
59,37,19
59,37,18
59,37,17
59,38,119
59,38,118
59,38,117
59,38,116
59,38,115
59,38,106
59,38,105
59,38,104
59,38,103
59,38,94
59,38,93
59,38,92
59,38,91
59,38,82
59,38,81
59,38,80
59,38,79
59,38,78
59,38,70
59,38,69
59,38,68
59,38,67
59,38,66
59,38,58
59,38,57
59,38,56
59,38,55
59,38,54
59,38,46
59,38,45
59,38,44
59,38,43
59,38,42
59,38,33
59,38,32
59,38,31
59,38,30
59,38,21
59,38,20
59,38,19
59,38,18
59,39,119
59,39,118
59,39,117
59,39,116
59,39,115
59,39,106
59,39,105
59,39,104
59,39,103
59,39,94
59,39,93
59,39,92
59,39,91
59,39,82
59,39,81
59,39,80
59,39,79
59,39,70
59,39,69
59,39,68
59,39,67
59,39,58
59,39,57
59,39,56
59,39,55
59,39,54
59,39,46
59,39,45
59,39,44
59,39,43
59,39,42
59,39,33
59,39,32
59,39,31
59,39,30
59,39,21
59,39,20
59,39,19
59,39,18
59,40,118
59,40,117
59,40,116
59,40,115
59,40,106
59,40,105
59,40,104
59,40,103
59,40,94
59,40,93
59,40,92
59,40,91
59,40,82
59,40,81
59,40,80
59,40,79
59,40,70
59,40,69
59,40,68
59,40,67
59,40,58
59,40,57
59,40,56
59,40,55
59,40,45
59,40,44
59,40,43
59,40,42
59,40,33
59,40,32
59,40,31
59,40,30
59,40,21
59,40,20
59,40,19
59,40,18
59,41,118
59,41,117
59,41,116
59,41,106
59,41,105
59,41,104
59,41,103
59,41,94
59,41,93
59,41,92
59,41,91
59,41,82
59,41,81
59,41,80
59,41,79
59,41,70
59,41,69
59,41,68
59,41,67
59,41,58
59,41,57
59,41,56
59,41,55
59,41,45
59,41,44
59,41,43
59,41,33
59,41,32
59,41,31
59,41,21
59,41,20
59,41,19
59,41,18
59,42,118
59,42,117
59,42,116
59,42,106
59,42,105
59,42,104
59,42,94
59,42,93
59,42,92
59,42,82
59,42,81
59,42,80
59,42,79
59,42,70
59,42,69
59,42,68
59,42,67
59,42,57
59,42,56
59,42,55
59,42,45
59,42,44
59,42,43
59,42,33
59,42,32
59,42,31
59,42,21
59,42,20
59,42,19
59,43,118
59,43,117
59,43,116
59,43,106
59,43,105
59,43,104
59,43,94
59,43,93
59,43,92
59,43,82
59,43,81
59,43,80
59,43,69
59,43,68
59,43,57
59,43,56
59,43,55
59,43,45
59,43,44
59,43,43
59,43,33
59,43,32
59,43,31
59,43,21
59,43,20
59,43,19
59,44,118
59,44,117
